3, Branch and Cut (warm) (rcb) (ccb-patch), Local Branching v1 (100), Local Branching v2,
1, 245030.0000, 259405.0000, 244067.0000
2, 244850.0000, 250972.0000, 243356.0000
3, 243267.0000, 247364.0000, 240511.0000
4, 244656.0000, 255322.0000, 241213.0000
5, 242555.0000, 248166.0000, 237380.0000
6, 246259.0000, 253257.0000, 243949.0000
7, 243533.0000, 249739.0000, 239716.0000
8, 239665.0000, 241677.0000, 236043.0000
9, 248123.0000, 251842.0000, 242746.0000
10, 240742.0000, 248735.0000, 238194.0000
11, 242685.0000, 252754.0000, 242795.0000
12, 247402.0000, 254148.0000, 240581.0000
13, 240928.0000, 243391.0000, 237997.0000
14, 242605.0000, 241701.0000, 235221.0000
15, 242149.0000, 257743.0000, 237586.0000
16, 242757.0000, 247403.0000, 240347.0000
17, 248251.0000, 255469.0000, 238572.0000
18, 239800.0000, 247235.0000, 240337.0000
19, 242771.0000, 247163.0000, 239134.0000
20, 248101.0000, 252323.0000, 240996.0000
